GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
StudyManager PWA,lv.studymanager.controller,CourseController,0,49,0,0,0,8,0,6,0,6
StudyManager PWA,lv.studymanager.controller,UserController,0,30,0,0,0,5,0,4,0,4
StudyManager PWA,lv.studymanager.controller,AdminController,6,32,0,0,1,6,1,5,1,5
StudyManager PWA,lv.studymanager.controller,TaskController,17,58,1,1,2,10,2,7,1,7
StudyManager PWA,lv.studymanager.controller,DashboardController,0,23,0,0,0,3,0,3,0,3
StudyManager PWA,lv.studymanager.controller,AuthController,0,27,0,0,0,4,0,4,0,4
StudyManager PWA,lv.studymanager.dto,Dto.AdminStatsResponse,177,45,18,0,0,7,13,13,4,13
StudyManager PWA,lv.studymanager.dto,Dto.CourseResponse,353,80,76,0,0,12,42,23,4,23
StudyManager PWA,lv.studymanager.dto,Dto.ChangePasswordRequest,98,17,22,0,0,3,15,5,4,5
StudyManager PWA,lv.studymanager.dto,Dto.UpdateProfileRequest,131,24,30,0,0,4,19,7,4,7
StudyManager PWA,lv.studymanager.dto,Dto.TaskResponse,386,80,90,0,0,12,49,23,4,23
StudyManager PWA,lv.studymanager.dto,Dto.RegisterRequest,164,31,38,0,0,5,23,9,4,9
StudyManager PWA,lv.studymanager.dto,Dto.AuthResponse,181,27,38,0,1,9,27,5,8,5
StudyManager PWA,lv.studymanager.dto,Dto.DashboardStats,169,59,22,0,0,9,15,17,4,17
StudyManager PWA,lv.studymanager.dto,Dto.UserResponse,264,52,62,0,0,8,35,15,4,15
StudyManager PWA,lv.studymanager.dto,Dto.RefreshRequest,65,10,14,0,0,2,11,3,4,3
StudyManager PWA,lv.studymanager.dto,Dto.AdminUserResponse,330,73,74,0,0,11,41,21,4,21
StudyManager PWA,lv.studymanager.dto,Dto.ChangeRoleRequest,65,10,14,0,0,2,11,3,4,3
StudyManager PWA,lv.studymanager.dto,Dto.LoginRequest,98,17,22,0,0,3,15,5,4,5
StudyManager PWA,lv.studymanager.dto,Dto,3,0,0,0,1,0,1,0,1,0
StudyManager PWA,lv.studymanager.dto,Dto.TaskRequest,252,52,58,0,0,8,33,15,4,15
StudyManager PWA,lv.studymanager.dto,Dto.StatusUpdateRequest,66,10,14,0,0,2,11,3,4,3
StudyManager PWA,lv.studymanager.dto,Dto.CourseRequest,263,52,62,0,0,8,35,15,4,15
StudyManager PWA,lv.studymanager,StudyManagerApplication,5,3,0,0,2,1,1,1,1,1
StudyManager PWA,lv.studymanager.service,CourseService,25,244,5,5,2,50,6,14,2,13
StudyManager PWA,lv.studymanager.service,AuthService,0,187,0,4,0,35,0,7,0,5
StudyManager PWA,lv.studymanager.service,AdminService,1,223,1,3,0,53,1,11,0,10
StudyManager PWA,lv.studymanager.service,UserService,0,117,0,2,0,24,0,8,0,7
StudyManager PWA,lv.studymanager.service,DashboardService,0,111,0,2,0,20,0,3,0,2
StudyManager PWA,lv.studymanager.service,TaskService,83,247,4,8,14,52,6,17,4,13
StudyManager PWA,lv.studymanager.service,AchievementService,5,100,3,7,0,21,3,7,0,5
StudyManager PWA,lv.studymanager.config,GlobalExceptionHandler.ErrorResponse,0,15,0,0,0,1,0,1,0,1
StudyManager PWA,lv.studymanager.config,SecurityConfig,162,0,0,0,28,0,9,0,9,0
StudyManager PWA,lv.studymanager.config,WebMvcConfig.new PathResourceResolver() {...},17,3,4,0,4,1,3,1,1,1
StudyManager PWA,lv.studymanager.config,GlobalExceptionHandler,14,84,0,2,3,17,2,7,2,6
StudyManager PWA,lv.studymanager.config,WebMvcConfig,0,27,0,0,0,6,0,2,0,2
StudyManager PWA,lv.studymanager.security,CustomUserDetailsService,0,40,0,0,0,7,0,4,0,4
StudyManager PWA,lv.studymanager.security,JwtTokenProvider,18,87,0,0,4,27,1,8,1,8
StudyManager PWA,lv.studymanager.security,JwtAuthFilter,41,34,6,2,7,9,4,4,0,4
StudyManager PWA,lv.studymanager.model,Course.Category,0,21,0,0,0,2,0,1,0,1
StudyManager PWA,lv.studymanager.model,Course,22,151,0,4,2,13,6,27,6,25
StudyManager PWA,lv.studymanager.model,Task.Priority,0,27,0,0,0,2,0,1,0,1
StudyManager PWA,lv.studymanager.model,Task,56,105,0,6,4,11,15,19,15,16
StudyManager PWA,lv.studymanager.model,Achievement.AchievementBuilder,20,37,0,0,0,1,2,6,2,6
StudyManager PWA,lv.studymanager.model,Achievement.BadgeType,3,65,0,0,1,12,1,3,1,3
StudyManager PWA,lv.studymanager.model,Task.TaskBuilder,43,111,0,6,0,1,3,15,3,12
StudyManager PWA,lv.studymanager.model,Achievement,20,40,0,0,0,6,5,8,5,8
StudyManager PWA,lv.studymanager.model,User.UserBuilder,60,83,2,4,0,1,8,9,6,8
StudyManager PWA,lv.studymanager.model,User,20,125,0,0,0,13,5,24,5,24
StudyManager PWA,lv.studymanager.model,Task.Status,0,21,0,0,0,2,0,1,0,1
StudyManager PWA,lv.studymanager.model,User.Role,0,15,0,0,0,2,0,1,0,1
StudyManager PWA,lv.studymanager.model,Course.Status,0,21,0,0,0,2,0,1,0,1
StudyManager PWA,lv.studymanager.model,Course.CourseBuilder,34,119,0,8,0,1,2,16,2,12
